bootstrap_id,feature,threshold,polarity,boot_err
0,12,0.500000,-1,0.337500
1,12,0.500000,-1,0.350000
2,12,0.500000,-1,0.212500
3,12,0.500000,-1,0.212500
4,12,0.500000,-1,0.312500
5,19,0.500000,-1,0.250000
6,12,0.500000,-1,0.300000
7,12,0.500000,-1,0.337500
8,12,0.500000,-1,0.212500
9,12,0.500000,-1,0.250000
10,12,0.500000,-1,0.287500
11,7,0.500000,-1,0.275000
12,15,0.500000,-1,0.287500
13,12,0.500000,-1,0.287500
14,12,0.500000,-1,0.262500
15,6,0.500000,-1,0.312500
16,8,0.500000,1,0.387500
17,7,0.500000,-1,0.237500
18,12,0.500000,-1,0.150000
19,12,0.500000,-1,0.225000
